Fototeny,sampateny
andriandriana,"fiandriandriana, fiandriandrianana, iandriandrianana, manandriandriana, miandriandriana, mpiandriandriana"
andrina,andrinina
andro,"ampandroana, ampandroina, mampandro, tolakandro"
andro,"anandro, anandro, anandroana, fanandro, fanandroana, manandro, mpanandro"
andro,"androana, fandro, fandroana, mahampandro, mandro, tafandro, voampandro"
androka,anandrohana
androka,"androhina, manandroka"
androngo,anandrongoana
androngo,manandrongo
androvo,manandrovo
androvo,androvondrovo
androvondrovo,"fiandrovondrovoana, iandrovondrovoana, miandrovondrovo"
anga,"mananga, mananga"
angady,
angafo,manangafo
angaha,angahaina
angaly,"angalina, miangaly, mpiangaly"
angamba,angambaina
angana,"ananganana, hananganana, mifanangana"
angana,"fiangana, manangana, miangana"
angana,"anganina, manangana"
anganga,"mampananganga, mampifananganga, mifananganga"
anganga,"anangangana, angangaina, fananganga, fanangangana, fanganga, fianganga, fiangangana, iangangana, mananganga, mianganga, mpananganga, mpianganga, tafanganga, voanganga"
angano,"anganoina, anganongano, fiangano, fianganoana, ianganoana, manangano, miangano, mpiangano, voaangano"
anganongano,anganonganoina
angatra,"fiangarana, fiangatra, iangarana, miangatra, mpiangatra"
angatra,"angarina, manangatra"
angavy,"fiangavy, fiangaviana, iangaviana, miangavy, mpiangavy, voangavy"
angazy,angazina
angefa,"mampanangefa, mampifanangefa, mifanangefa"
angely,angelingely
angelingely,anangelingelena
angelongelona,
angentsana,angentsanina
angentsana,"anangentsanana, angentsanana, angentsangentsana, fanangentsana, fanangentsanana, fiangentsana, fiangentsanana, iangentsanana, manangentsana, miangentsana, mpanangentsana, mpiangentsana, tafangentsana, voangentsana"
angeso,angesongeso
angeso,"angesoina, fiangeso, fiangesoana, iangesoana, miangeso, mpiangeso"
angy,"manangy, voangy"
angy,miangy
angiangy,"fiangiangy, fiangiangiana, iangiangiana, miangiangy, mpiangiangy"
angitrangitra,"angitrangirana, angitrangitana, fiangitrangitana, fiangitrangitra, iangitrangitana, miangitrangitra, mpiangitrangitra, tafangitrangitra"
ango,"mahaango, mihaango"
angoaiña,mafangoaiña
angoango,miangoango
angoango,"fiangoango, fiangoangoana, mpiangoango"
angola,"anangolana, angolaina, angolangola, iangolana, manangola, miangola"
angolangola,"anangolangolana, manangolangola"
angoly,"mampanangoly, mampifanangoly, mifanangoly, voangoly"
angoly,"anangolena, angolena, fanangolena, fanangoly, manangoly, mpanangoly"
angona,mampiangona
angona,"anangonana, angonina, fanangona, fiangona, fiangonana, iangonana, mahangona, mampanangona, mampifanangona, manangona, miangona, mifanangona, mpanangona, mpiangona, tafangona, voangona"
angongo,anangongoana
angongo,"anangongonana, fanangongo, fanangongonana, fiangongo, fiangongoana, iangongoana, manangongo, miangongo, mpanangongo, mpiangongo"
angontsina,angontsinana
angosoly,miangosoly
angoty,"angotingoty, fiangoty, fiangotiana, iangotiana, miangoty, mpiangoty"
angotingoty,"iangotingotiana, miangotingoty"
angoze,"mahangoze, mampañangoze, miangoze, pañangoze, voangoze"
any,"ankanesana, mankany"
any,"ananiana, anina, fananiana, manany, mpanany, voany"
aniana,"ampianianana, ampianianina, mampianiana, mianiana"
aniana,"fianiana, fianianana, ianianana, mpianiana"
aniany,fianiany
aniany,"anianiany, mianiany"
anika,ananihana
anika,"anihina, fananihana, fananika, fianihana, fianika, iananihana, ianihana, mahanika, mananika, mianika, mpananika, mpianika, tafanika, voanika"
anike,"fianike, kianike, mahaanike, mampañanike, mianike, mifañanike, pañanike, pianike, voaanike"
anina,voampihanina
anina,"aninanina, fianina, fianinana, ianinana, mianina, mpianina, tafanina, voanina"
aninanina,mianinanina
anja,"aanja, ampianja, faanja, fampianja, fianja, mahaanja, mampañanja, mampianja, mianja, mifañanja, mihamianja, pañanja, pianja"
anjady,"fianjady, fianjadiana, ianjadiana, mahanjady, mianjady, mpianjady"
anjaika,"fianjaika, fianjaikana, ianjaikana, mianjaika, mpianjaika"
anjaingy,"ananjaingana, anjaingaina, anjaingena, mananjaingy, voanjaingy"
anjaka,anjakanjaka
anjaka,"ananjahana, anjahina, mananjaka"
anjake,"mampianjake, mianjake, pianjake"
anjana,anjananjana
anjananjana,
anjano,"ananjanoana, anjanoina, mananjano"
anjara,
anje,"ampanje, mampanje, manje, mihamanje, panje"
anjefa,"mankanjefa, miankanjefa"
anjo,"ampanjo, ampianjo, mampanjo, panjo"
anjoana,anjoanina
anjona,ianjonana
anjona,"anjonanjona, mianjona"
anjonanjona,"aanjonanjona, fianjonanjonana, ianjonanjonana, mahanjonanjona, mianjonanjona, mpianjonanjona"
anjoro,
ankandrefana,"ankandrefanina, fiankandrefana, fiankandrefanana, iankandrefanana, miankandrefana, mpiankandrefana, voaankandrefana"
ankane,"mahankane, mampiankane, mañankane, mifampiankane, piankane, pifampiankane"
ankany,miankany
anke,faanke
ankenjy,"anankenjena, ankenjena, manankenjy"
anky,mananky
anky,"aanky, ankianky, mahaanky, mampianky, mianky, mifampianky, mihamianky, pañanky, pianky, pifampianky"
ankina,mpampiankina
ankina,"aankina, anankinana, ankinankina, ankinina, fanankina, fanankinana, fanankinana, fiankina, fiankinana, iankinana, mahankina, mampanankina, mampifanankina, manankina, miankina, mifanankina, mpanankina, mpiankina, tafankina, voankina"
anko,"anankoana, ankoina, mananko, mianko"
ankolatra,"anankolarana, manankolatra"
ankolatra,ankolarina
ano,noina
ano,"ananovana, anoina, anovina, manano, mpanano"
anoano,anoanoana
anoano,"kinanonanobe, kinoanoabe"
anoka,"anohina, ianohana, mianoka"
anoloana,"mampananoloana, mampifananoloana, mifananoloana"
anona,"ananona, mananona, mananona, mihañona"
anona,"ananovana, ananovina, anonovina, fananona, Ianona, mampananona, mampifananona, mifananona, mpananona, voaanona"
anonanona,mananonanona
anonanona,mianonanona
anotra,anorina
anotra,"fianorana, fianotra, ianorana, mianotra, mpianotra, voanotra"
antafika,"mampiantafika, mifampiantafika"
antafika,iantafihana
antaha,miantaha
antanona,"anantanonana, antanonina"
antanona,"fanantanona, manantanona"
antara,
antefa,"anantefana, antefaina, manantefa"
antefa,"fiantefa, iantefana, miantefa, mpiantefa"
antehitra,"fianteherana, fiantehitra, ianteherana, miantehitra, mpiantehitra"
antena,"mampanantena, mampifanantena, manantena, mifanantena"
antena,"ampanantenaina, anantenana, antenaina, antenantena, fampanantenana, fanantena, fanantenana, mamantena, mpanantena, voaantena"
antetse,mihaantetse
antika,
antika,antikantika
antima,antimatima
antimo,mañantimo
antinana,mañantiñana
antitra,"ananterana, ifananterana"
antitra,"anterina, antitrantitra, fahanterana, konantitra, manantitra, miantitra, mifanantitra, mihaantitra, mihantitra"
antitrantitra,"antitranterina, fanantitranterana, manantitrantitra"
antoana,anantoanana
antoana,"antoanina, fanantoanana, fiantoanana, iantoanana, manantoana, miantoana, voantoana"
antoandro,"antoandrotoandro, antoantoandro, manantoandro, miantoandro"
antody,antohina
antoka,miantoka
antoka,"fiantohana, fiantoka, iantohana, miantoka, mpiantoka, voaantoka"
